final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.58,0.265,10.7,13.6,4.4,3.4,16.8,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.58,0.265,10.7,13.6,3.0,3.0,23.0,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.58,0.265,10.7,13.6,4.5,3.4,16.1,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.455,0.222,6.3,10.6,4.4,3.4,16.8,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.455,0.222,6.3,10.6,3.0,3.0,23.0,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.455,0.222,6.3,10.6,4.5,3.4,16.1,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.593,0.27,11.4,14.1,4.4,3.4,16.8,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.593,0.27,11.4,14.1,3.0,3.0,23.0,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
2,0.593,0.27,11.4,14.1,4.5,3.4,16.1,118.8,0.541,97.2,0.474,0.724,0.444,0.433,0.431,0.376
8,0.58,0.265,10.7,13.6,4.4,3.4,16.8,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.58,0.265,10.7,13.6,3.0,3.0,23.0,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.58,0.265,10.7,13.6,4.5,3.4,16.1,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.455,0.222,6.3,10.6,4.4,3.4,16.8,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.455,0.222,6.3,10.6,3.0,3.0,23.0,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.455,0.222,6.3,10.6,4.5,3.4,16.1,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.593,0.27,11.4,14.1,4.4,3.4,16.8,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.593,0.27,11.4,14.1,3.0,3.0,23.0,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
8,0.593,0.27,11.4,14.1,4.5,3.4,16.1,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
3,0.58,0.265,10.7,13.6,4.4,3.4,16.8,118.8,0.541,97.2,0.464,0.686,0.421,0.428,0.381,0.364
3,0.58,0.265,10.7,13.6,3.0,3.0,23.0,118.8,0.541,97.2,0.464,0.686,0.421,0.428,0.381,0.364
