final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
9,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.467,0.705,0.493,0.463,0.407,0.353
7,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.464,0.686,0.421,0.428,0.381,0.364
2,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
6,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
2,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
2,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
15,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.474,0.701,0.464,0.472,0.394,0.358
6,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
2,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.466,0.716,0.507,0.42,0.404,0.359
4,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.48,0.699,0.485,0.43,0.368,0.387
11,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.464,0.686,0.421,0.428,0.381,0.364
2,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.453,0.676,0.438,0.469,0.407,0.352
0,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
19,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.496,0.753,0.452,0.464,0.454,0.362
0,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.473,0.682,0.45,0.425,0.431,0.37
24,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.474,0.667,0.418,0.456,0.425,0.378
13,0.546,0.133,11.5,8.9,6.2,5.4,23.1,118.4,0.539,99.9,0.491,0.716,0.471,0.42,0.422,0.376
