final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.519,0.152,16.8,9.9,5.1,4.6,14.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.519,0.152,16.8,9.9,4.3,4.0,12.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.519,0.152,16.8,9.9,9.0,7.4,19.9,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.502,0.131,15.9,8.6,5.1,4.6,14.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.502,0.131,15.9,8.6,4.3,4.0,12.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.502,0.131,15.9,8.6,9.0,7.4,19.9,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.56,0.203,19.3,13.5,5.1,4.6,14.0,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.56,0.203,19.3,13.5,4.3,4.0,12.7,,,,0.496,0.688,0.482,0.495,0.411,0.365
0,0.56,0.203,19.3,13.5,9.0,7.4,19.9,,,,0.496,0.688,0.482,0.495,0.411,0.365
3,0.519,0.152,16.8,9.9,5.1,4.6,14.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.519,0.152,16.8,9.9,4.3,4.0,12.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.519,0.152,16.8,9.9,9.0,7.4,19.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.502,0.131,15.9,8.6,5.1,4.6,14.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.502,0.131,15.9,8.6,4.3,4.0,12.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.502,0.131,15.9,8.6,9.0,7.4,19.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.56,0.203,19.3,13.5,5.1,4.6,14.0,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.56,0.203,19.3,13.5,4.3,4.0,12.7,,,,0.473,0.682,0.45,0.425,0.431,0.37
3,0.56,0.203,19.3,13.5,9.0,7.4,19.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
1,0.519,0.152,16.8,9.9,5.1,4.6,14.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.519,0.152,16.8,9.9,4.3,4.0,12.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.519,0.152,16.8,9.9,9.0,7.4,19.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.502,0.131,15.9,8.6,5.1,4.6,14.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.502,0.131,15.9,8.6,4.3,4.0,12.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.502,0.131,15.9,8.6,9.0,7.4,19.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.56,0.203,19.3,13.5,5.1,4.6,14.0,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.56,0.203,19.3,13.5,4.3,4.0,12.7,,,,0.475,0.736,0.421,0.46,0.381,0.368
1,0.56,0.203,19.3,13.5,9.0,7.4,19.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
23,0.519,0.152,16.8,9.9,5.1,4.6,14.0,,,,0.47,0.66,0.442,0.432,0.42,0.365
