final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
4,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.487,0.685,0.467,0.441,0.423,0.373
4,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.49,0.716,0.477,0.453,0.481,0.37
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
10,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.47,0.71,0.398,0.434,0.424,0.372
2,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.475,0.736,0.421,0.46,0.381,0.368
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.464,0.714,0.454,0.422,0.397,0.349
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.474,0.724,0.444,0.433,0.431,0.376
6,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.474,0.667,0.418,0.456,0.425,0.378
2,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.464,0.686,0.421,0.428,0.381,0.364
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.47,0.66,0.442,0.432,0.42,0.365
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.47,0.66,0.442,0.432,0.42,0.365
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.491,0.732,0.489,0.458,0.406,0.351
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.474,0.701,0.464,0.472,0.394,0.358
5,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.464,0.714,0.454,0.422,0.397,0.349
4,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.49,0.716,0.477,0.453,0.481,0.37
7,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.463,0.66,0.426,0.425,0.38,0.371
2,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.496,0.688,0.482,0.495,0.411,0.365
9,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.49,0.716,0.477,0.453,0.481,0.37
3,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.496,0.753,0.452,0.464,0.454,0.362
2,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.473,0.682,0.45,0.425,0.431,0.37
1,0.689,0.111,13.0,18.2,4.3,3.0,11.8,112.3,0.566,99.4,0.473,0.682,0.45,0.425,0.431,0.37
