final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.533,0.218,20.4,11.9,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.533,0.218,20.4,11.9,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.533,0.218,20.4,11.9,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.533,0.218,20.4,11.9,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.535,0.161,16.2,10.1,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.535,0.161,16.2,10.1,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.535,0.161,16.2,10.1,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.535,0.161,16.2,10.1,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.557,0.478,22.2,12.5,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.557,0.478,22.2,12.5,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.557,0.478,22.2,12.5,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.557,0.478,22.2,12.5,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.528,0.23,26.0,14.4,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.528,0.23,26.0,14.4,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.528,0.23,26.0,14.4,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
6,0.528,0.23,26.0,14.4,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.533,0.218,20.4,11.9,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.533,0.218,20.4,11.9,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.533,0.218,20.4,11.9,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.533,0.218,20.4,11.9,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.535,0.161,16.2,10.1,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.535,0.161,16.2,10.1,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.535,0.161,16.2,10.1,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.535,0.161,16.2,10.1,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.557,0.478,22.2,12.5,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.557,0.478,22.2,12.5,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.557,0.478,22.2,12.5,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.557,0.478,22.2,12.5,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.528,0.23,26.0,14.4,5.5,4.7,12.7,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.528,0.23,26.0,14.4,5.1,4.4,15.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.528,0.23,26.0,14.4,2.2,1.6,4.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
3,0.528,0.23,26.0,14.4,8.0,6.9,14.3,112.3,0.566,99.4,0.467,0.705,0.493,0.463,0.407,0.353
0,0.533,0.218,20.4,11.9,5.5,4.7,12.7,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.533,0.218,20.4,11.9,5.1,4.4,15.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.533,0.218,20.4,11.9,2.2,1.6,4.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.533,0.218,20.4,11.9,8.0,6.9,14.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.535,0.161,16.2,10.1,5.5,4.7,12.7,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.535,0.161,16.2,10.1,5.1,4.4,15.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.535,0.161,16.2,10.1,2.2,1.6,4.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.535,0.161,16.2,10.1,8.0,6.9,14.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.557,0.478,22.2,12.5,5.5,4.7,12.7,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.557,0.478,22.2,12.5,5.1,4.4,15.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.557,0.478,22.2,12.5,2.2,1.6,4.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.557,0.478,22.2,12.5,8.0,6.9,14.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.528,0.23,26.0,14.4,5.5,4.7,12.7,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.528,0.23,26.0,14.4,5.1,4.4,15.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.528,0.23,26.0,14.4,2.2,1.6,4.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
0,0.528,0.23,26.0,14.4,8.0,6.9,14.3,112.3,0.566,99.4,0.468,0.712,0.406,0.411,0.404,0.354
4,0.533,0.218,20.4,11.9,5.5,4.7,12.7,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
4,0.533,0.218,20.4,11.9,5.1,4.4,15.3,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
4,0.533,0.218,20.4,11.9,2.2,1.6,4.3,112.3,0.566,99.4,0.495,0.694,0.46,0.452,0.43,0.384
