final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
20,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.48,0.699,0.485,0.43,0.368,0.387
41,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.464,0.686,0.421,0.428,0.381,0.364
41,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.474,0.724,0.444,0.433,0.431,0.376
31,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
22,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.467,0.705,0.493,0.463,0.407,0.353
19,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.467,0.705,0.493,0.463,0.407,0.353
26,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.473,0.682,0.45,0.425,0.431,0.37
29,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
22,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.487,0.685,0.467,0.441,0.423,0.373
25,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.47,0.71,0.398,0.434,0.424,0.372
13,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.487,0.712,0.478,0.466,0.392,0.395
21,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.496,0.688,0.482,0.495,0.411,0.365
40,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
36,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
38,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
37,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.487,0.685,0.467,0.441,0.423,0.373
24,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
25,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.463,0.682,0.478,0.464,0.401,0.348
28,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
16,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
34,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
17,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.473,0.682,0.45,0.425,0.431,0.37
34,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
19,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.49,0.716,0.477,0.453,0.481,0.37
27,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
19,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.496,0.688,0.482,0.495,0.411,0.365
34,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.491,0.716,0.471,0.42,0.422,0.376
30,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.474,0.701,0.464,0.472,0.394,0.358
50,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.463,0.66,0.426,0.425,0.38,0.371
36,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
40,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
44,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
25,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.468,0.712,0.406,0.411,0.404,0.354
24,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.474,0.724,0.444,0.433,0.431,0.376
37,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.487,0.685,0.467,0.441,0.423,0.373
60,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.487,0.712,0.478,0.466,0.392,0.395
30,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.491,0.716,0.471,0.42,0.422,0.376
42,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.495,0.694,0.46,0.452,0.43,0.384
42,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.474,0.667,0.418,0.456,0.425,0.378
29,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.496,0.753,0.452,0.464,0.454,0.362
40,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.473,0.682,0.45,0.425,0.431,0.37
28,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.47,0.712,0.435,0.484,0.391,0.356
33,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
38,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
40,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.474,0.724,0.444,0.433,0.431,0.376
39,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.496,0.753,0.452,0.464,0.454,0.362
71,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.463,0.682,0.478,0.464,0.401,0.348
25,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
41,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.464,0.714,0.454,0.422,0.397,0.349
33,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.495,0.694,0.46,0.452,0.43,0.384
41,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.474,0.701,0.464,0.472,0.394,0.358
31,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.49,0.716,0.477,0.453,0.481,0.37
27,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.453,0.676,0.438,0.469,0.407,0.352
22,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.468,0.712,0.406,0.411,0.404,0.354
38,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.47,0.66,0.442,0.432,0.42,0.365
41,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.453,0.676,0.438,0.469,0.407,0.352
21,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.468,0.707,0.449,0.436,0.407,0.363
30,0.59,0.403,28.4,19.6,24.3,17.5,35.3,108.3,0.558,97.2,0.487,0.712,0.478,0.466,0.392,0.395
