final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.487,0.685,0.467,0.441,0.423,0.373
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.495,0.694,0.46,0.452,0.43,0.384
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.66,0.442,0.432,0.42,0.365
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.474,0.701,0.464,0.472,0.394,0.358
12,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.474,0.667,0.418,0.456,0.425,0.378
10,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.453,0.676,0.438,0.469,0.407,0.352
4,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.496,0.753,0.452,0.464,0.454,0.362
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.712,0.435,0.484,0.391,0.356
6,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.468,0.707,0.449,0.436,0.407,0.363
3,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.71,0.398,0.434,0.424,0.372
10,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.66,0.442,0.432,0.42,0.365
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.468,0.712,0.406,0.411,0.404,0.354
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.495,0.694,0.46,0.452,0.43,0.384
3,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.474,0.667,0.418,0.456,0.425,0.378
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.712,0.435,0.484,0.391,0.356
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.491,0.716,0.471,0.42,0.422,0.376
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.453,0.676,0.438,0.469,0.407,0.352
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.453,0.676,0.438,0.469,0.407,0.352
10,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.463,0.682,0.478,0.464,0.401,0.348
7,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.495,0.694,0.46,0.452,0.43,0.384
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.487,0.712,0.478,0.466,0.392,0.395
5,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.464,0.686,0.421,0.428,0.381,0.364
9,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.453,0.676,0.438,0.469,0.407,0.352
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.462,0.686,0.416,0.415,0.391,0.355
4,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.495,0.694,0.46,0.452,0.43,0.384
11,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.487,0.685,0.467,0.441,0.423,0.373
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.49,0.716,0.477,0.453,0.481,0.37
3,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.464,0.686,0.421,0.428,0.381,0.364
1,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.474,0.701,0.464,0.472,0.394,0.358
5,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.71,0.398,0.434,0.424,0.372
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.47,0.66,0.442,0.432,0.42,0.365
4,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.49,0.716,0.477,0.453,0.481,0.37
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.487,0.712,0.478,0.466,0.392,0.395
0,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.463,0.66,0.426,0.425,0.38,0.371
4,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.463,0.66,0.426,0.425,0.38,0.371
9,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.468,0.712,0.406,0.411,0.404,0.354
2,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.496,0.688,0.482,0.495,0.411,0.365
8,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
3,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
9,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
11,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.455,0.652,0.437,0.432,0.389,0.361
8,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
11,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.491,0.716,0.471,0.42,0.422,0.376
20,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.491,0.716,0.471,0.42,0.422,0.376
16,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.463,0.682,0.478,0.464,0.401,0.348
22,0.565,0.37,14.9,9.3,5.1,3.9,14.9,,,,0.463,0.66,0.426,0.425,0.38,0.371
