final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.499,0.251,18.7,9.2,4.5,4.1,12.1,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.499,0.251,18.7,9.2,4.7,4.2,12.9,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.499,0.251,18.7,9.2,6.8,6.5,15.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.499,0.251,18.7,9.2,1.8,1.5,4.5,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.496,0.275,18.7,8.3,4.5,4.1,12.1,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.496,0.275,18.7,8.3,4.7,4.2,12.9,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.496,0.275,18.7,8.3,6.8,6.5,15.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.496,0.275,18.7,8.3,1.8,1.5,4.5,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.494,0.115,20.5,14.6,4.5,4.1,12.1,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.494,0.115,20.5,14.6,4.7,4.2,12.9,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.494,0.115,20.5,14.6,6.8,6.5,15.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.494,0.115,20.5,14.6,1.8,1.5,4.5,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.557,0.222,15.8,13.8,4.5,4.1,12.1,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.557,0.222,15.8,13.8,4.7,4.2,12.9,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
