final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
6,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
6,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.468,0.712,0.406,0.411,0.404,0.354
9,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
9,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.463,0.682,0.478,0.464,0.401,0.348
3,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
3,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.47,0.71,0.398,0.434,0.424,0.372
0,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
0,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.47,0.66,0.442,0.432,0.42,0.365
11,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
11,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.495,0.694,0.46,0.452,0.43,0.384
0,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
12,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.49,0.716,0.477,0.453,0.481,0.37
0,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.565,0.177,22.4,13.7,7.9,6.4,15.6,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.541,0.134,22.6,12.2,7.0,5.8,13.7,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.541,0.134,22.6,12.2,5.2,4.6,10.2,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.541,0.134,22.6,12.2,7.9,6.4,15.6,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.573,0.194,22.3,14.2,7.0,5.8,13.7,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.573,0.194,22.3,14.2,5.2,4.6,10.2,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
0,0.573,0.194,22.3,14.2,7.9,6.4,15.6,118.4,0.539,99.9,0.45,0.673,0.404,0.447,0.371,0.354
12,0.565,0.177,22.4,13.7,7.0,5.8,13.7,118.4,0.539,99.9,0.455,0.652,0.437,0.432,0.389,0.361
12,0.565,0.177,22.4,13.7,5.2,4.6,10.2,118.4,0.539,99.9,0.455,0.652,0.437,0.432,0.389,0.361
