final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.464,0.686,0.421,0.428,0.381,0.364
3,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.491,0.732,0.489,0.458,0.406,0.351
2,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.487,0.712,0.478,0.466,0.392,0.395
9,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.48,0.699,0.485,0.43,0.368,0.387
0,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.464,0.686,0.421,0.428,0.381,0.364
6,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.462,0.686,0.416,0.415,0.391,0.355
0,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.45,0.673,0.404,0.447,0.371,0.354
0,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.463,0.682,0.478,0.464,0.401,0.348
2,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.468,0.712,0.406,0.411,0.404,0.354
2,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.487,0.712,0.478,0.466,0.392,0.395
3,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.487,0.685,0.467,0.441,0.423,0.373
12,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.463,0.66,0.426,0.425,0.38,0.371
2,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.47,0.712,0.435,0.484,0.391,0.356
0,0.316,0.0,12.4,10.5,1.7,2.7,10.1,118.8,0.541,97.2,0.491,0.732,0.489,0.458,0.406,0.351
