final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
6,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.491,0.716,0.471,0.42,0.422,0.376
7,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.474,0.667,0.418,0.456,0.425,0.378
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.47,0.712,0.435,0.484,0.391,0.356
7,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
9,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.496,0.688,0.482,0.495,0.411,0.365
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.475,0.736,0.421,0.46,0.381,0.368
6,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.47,0.66,0.442,0.432,0.42,0.365
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.468,0.707,0.449,0.436,0.407,0.363
11,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.48,0.699,0.485,0.43,0.368,0.387
15,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
22,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.474,0.667,0.418,0.456,0.425,0.378
11,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.468,0.712,0.406,0.411,0.404,0.354
14,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.491,0.716,0.471,0.42,0.422,0.376
20,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.496,0.688,0.482,0.495,0.411,0.365
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.491,0.732,0.489,0.458,0.406,0.351
0,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.474,0.701,0.464,0.472,0.394,0.358
6,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.495,0.694,0.46,0.452,0.43,0.384
10,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.496,0.753,0.452,0.464,0.454,0.362
10,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.491,0.716,0.471,0.42,0.422,0.376
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.49,0.716,0.477,0.453,0.481,0.37
10,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.466,0.716,0.507,0.42,0.404,0.359
12,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.47,0.712,0.435,0.484,0.391,0.356
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.463,0.66,0.426,0.425,0.38,0.371
10,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.495,0.694,0.46,0.452,0.43,0.384
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.487,0.685,0.467,0.441,0.423,0.373
7,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
6,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.464,0.714,0.454,0.422,0.397,0.349
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.467,0.705,0.493,0.463,0.407,0.353
0,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.453,0.676,0.438,0.469,0.407,0.352
10,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.487,0.685,0.467,0.441,0.423,0.373
7,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.464,0.686,0.421,0.428,0.381,0.364
6,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.487,0.712,0.478,0.466,0.392,0.395
7,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.466,0.716,0.507,0.42,0.404,0.359
12,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.468,0.712,0.406,0.411,0.404,0.354
0,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.49,0.716,0.477,0.453,0.481,0.37
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.464,0.686,0.421,0.428,0.381,0.364
8,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.473,0.682,0.45,0.425,0.431,0.37
4,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.468,0.712,0.406,0.411,0.404,0.354
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.47,0.66,0.442,0.432,0.42,0.365
2,0.571,0.203,13.0,16.3,6.1,4.9,23.9,,,,0.467,0.705,0.493,0.463,0.407,0.353
