final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
1,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
1,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
4,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
4,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.491,0.716,0.471,0.42,0.422,0.376
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.48,0.699,0.485,0.43,0.368,0.387
2,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
2,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.455,0.652,0.437,0.432,0.389,0.361
10,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
10,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.49,0.716,0.477,0.453,0.481,0.37
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.468,0.707,0.449,0.436,0.407,0.363
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.753,0.452,0.464,0.454,0.362
2,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.496,0.688,0.482,0.495,0.411,0.365
2,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
2,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.473,0.682,0.45,0.425,0.431,0.37
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.466,0.716,0.507,0.42,0.404,0.359
0,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
0,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.464,0.686,0.421,0.428,0.381,0.364
2,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.522,0.267,13.9,10.9,4.0,3.7,11.8,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
2,0.522,0.267,13.9,10.9,2.1,1.8,7.6,116.9,0.537,97.5,0.462,0.686,0.416,0.415,0.391,0.355
19,0.49,0.284,17.1,10.7,3.3,3.0,10.3,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
19,0.49,0.284,17.1,10.7,4.0,3.7,11.8,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
19,0.49,0.284,17.1,10.7,2.1,1.8,7.6,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
19,0.481,0.288,18.2,10.6,3.3,3.0,10.3,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
19,0.481,0.288,18.2,10.6,4.0,3.7,11.8,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
19,0.481,0.288,18.2,10.6,2.1,1.8,7.6,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
19,0.522,0.267,13.9,10.9,3.3,3.0,10.3,116.9,0.537,97.5,0.495,0.694,0.46,0.452,0.43,0.384
