final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
17,0.537,0.179,19.1,12.2,12.9,11.1,30.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.537,0.179,19.1,12.2,13.6,11.6,29.2,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.537,0.179,19.1,12.2,11.7,10.4,32.2,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.545,0.185,21.2,13.0,12.9,11.1,30.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.545,0.185,21.2,13.0,13.6,11.6,29.2,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.545,0.185,21.2,13.0,11.7,10.4,32.2,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.522,0.169,16.3,11.0,12.9,11.1,30.4,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.522,0.169,16.3,11.0,13.6,11.6,29.2,,,,0.487,0.685,0.467,0.441,0.423,0.373
17,0.522,0.169,16.3,11.0,11.7,10.4,32.2,,,,0.487,0.685,0.467,0.441,0.423,0.373
10,0.537,0.179,19.1,12.2,12.9,11.1,30.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.537,0.179,19.1,12.2,13.6,11.6,29.2,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.537,0.179,19.1,12.2,11.7,10.4,32.2,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.545,0.185,21.2,13.0,12.9,11.1,30.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.545,0.185,21.2,13.0,13.6,11.6,29.2,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.545,0.185,21.2,13.0,11.7,10.4,32.2,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.522,0.169,16.3,11.0,12.9,11.1,30.4,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.522,0.169,16.3,11.0,13.6,11.6,29.2,,,,0.464,0.714,0.454,0.422,0.397,0.349
10,0.522,0.169,16.3,11.0,11.7,10.4,32.2,,,,0.464,0.714,0.454,0.422,0.397,0.349
12,0.537,0.179,19.1,12.2,12.9,11.1,30.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
12,0.537,0.179,19.1,12.2,13.6,11.6,29.2,,,,0.495,0.694,0.46,0.452,0.43,0.384
12,0.537,0.179,19.1,12.2,11.7,10.4,32.2,,,,0.495,0.694,0.46,0.452,0.43,0.384
12,0.545,0.185,21.2,13.0,12.9,11.1,30.4,,,,0.495,0.694,0.46,0.452,0.43,0.384
12,0.545,0.185,21.2,13.0,13.6,11.6,29.2,,,,0.495,0.694,0.46,0.452,0.43,0.384
